ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
BB216,Juego libre,240627_08,240627_08_BB216_KL.XLSX,240627_08_BBXD_JIN.XLSX
BB217,Juego libre,240627_08,240627_08_BB217_GA.XLSX,240627_08_BBXD_JIN.XLSX
AB302,Exposición docente,240628_01,240628_01_AB302_SC.XLSX,240628_01_AB31D_JIN.XLSX
AB303,Exposición docente,240628_01,240628_01_AB303_SZ.XLSX,240628_01_AB31D_JIN.XLSX
AB313,Exposición docente,240628_01,240628_01_AB313_JF.XLSX,240628_01_AB31D_JIN.XLSX
AB401,Juego con números,240628_02,240628_02_AB401_JF.XLSX,240628_02_AB4D_JIN.XLSX
AB402,Juego con números,240628_02,240628_02_AB402_SZ.XLSX,240628_02_AB4D_JIN.XLSX
AB403,Juego con números,240628_02,240628_02_AB403_SC.XLSX,240628_02_AB4D_JIN.XLSX
AB405,Juego con números,240628_03,240628_03_AB405_JF.XLSX,240628_03_AB4D_JIN.XLSX
AB407,Juego con números,240628_03,240628_03_AB407_SC.XLSX,240628_03_AB4D_JIN.XLSX
AB401,Dibujo/pintura,240628_04,240628_04_AB401_SZ.XLSX,240628_04_AB4D_JIN.XLSX
AB402,Dibujo/pintura,240628_04,240628_04_AB402_SC.XLSX,240628_04_AB4D_JIN.XLSX
AB409,Dibujo/pintura,240628_04,240628_04_AB409_JF.XLSX,240628_04_AB4D_JIN.XLSX
AB403,Dibujo/pintura,240628_05,240628_05_AB403_SZ.XLSX,240628_05_AB4D_JIN.XLSX
AB405,Dibujo/pintura,240628_05,240628_05_AB405_SC.XLSX,240628_05_AB4D_JIN.XLSX
AA406,Juego libre,240701_01,240701_01_AA406_JF.XLSX,240701_01_AA41D_JIN.XLSX
AA407,Juego libre,240701_01,240701_01_AA407_LL.XLSX,240701_01_AA41D_JIN.XLSX
AA408,Juego libre,240701_01,240701_01_AA408_AB.XLSX,240701_01_AA41D_JIN.XLSX
AA401,Juego libre,240701_02,240701_02_AA401_JF.XLSX,240701_02_AA41D_JIN.XLSX
AA402,Juego libre,240701_02,240701_02_AA402_LL.XLSX,240701_02_AA41D_JIN.XLSX
AA409,Juego libre,240701_03,240701_03_AA409_AB.XLSX,240701_03_AA41D_JIN.XLSX
AA411,Juego libre,240701_03,240701_03_AA411_LL.XLSX,240701_03_AA41D_JIN.XLSX
AA305,Exposición docente,240701_04,240701_04_AA305_JF.XLSX,240701_04_AA1D_JIN.XLSX
AA309,Juego libre,240701_04,240701_04_AA309_LL.XLSX,240701_04_AA1D_JIN.XLSX
AA305,Juego libre,240701_05,240701_05_AA305_LL.XLSX,240701_05_AA1D_JIN.XLSX
AA309,Juego libre,240701_05,240701_05_AA309_JF.XLSX,240701_05_AA1D_JIN.XLSX
BA309,Exposición docente,240702_01,240702_01_BA309_LM.XLSX,240702_01_BA3D_JIN.XLSX
BA310,Exposición docente,240702_01,240702_01_BA310_PVM.XLSX,240702_01_BA3D_JIN.XLSX
BA318,Exposición docente,240702_01,240702_01_BA318_JF.XLSX,240702_01_BA3D_JIN.XLSX
BA301,Dibujo/pintura,240702_02,240702_02_BA301_JF.XLSX,240702_02_BA3D_JIN.XLSX
BA302,Dibujo/pintura,240702_02,240702_02_BA302_LM.XLSX,240702_02_BA3D_JIN.XLSX
BA303,Dibujo/pintura,240702_02,240702_02_BA303_PVM.XLSX,240702_02_BA3D_JIN.XLSX
BA304,Dibujo/pintura,240702_03,240702_03_BA304_LM.XLSX,240702_03_BA3D_JIN.XLSX
BA305,Dibujo/pintura,240702_03,240702_03_BA305_PVM.XLSX,240702_03_BA3D_JIN.XLSX
BA306,Dibujo/pintura,240702_03,240702_03_BA306_JF.XLSX,240702_03_BA3D_JIN.XLSX
BA307,Dibujo/pintura,240702_04,240702_04_BA307_JF.XLSX,240702_04_BA3D_JIN.XLSX
BA308,Dibujo/pintura,240702_04,240702_04_BA308_LM.XLSX,240702_04_BA3D_JIN.XLSX
BA311,Dibujo/pintura,240702_04,240702_04_BA311_PVM.XLSX,240702_04_BA3D_JIN.XLSX
BA312,Dibujo/pintura,240702_05,240702_05_BA312_PVM.XLSX,240702_05_BA3D_JIN.XLSX
BA316,Dibujo/pintura,240702_05,240702_05_BA316_JF.XLSX,240702_05_BA3D_JIN.XLSX
BA301,Juego libre,240702_06,240702_06_BA301_PVM.XLSX,240702_06_BA3D_JIN.XLSX
BA310,Juego libre,240702_06,240702_06_BA310_JF.XLSX,240702_06_BA3D_JIN.XLSX
BA317,Juego libre,240702_06,240702_06_BA317_LM.XLSX,240702_06_BA3D_JIN.XLSX
BA309,Juego libre,240702_07,240702_07_BA309_JF.XLSX,240702_07_BA3D_JIN.XLSX
BA314,Juego libre,240702_07,240702_07_BA314_LM.XLSX,240702_07_BA3D_JIN.XLSX
BA318,Juego libre,240702_07,240702_07_BA318_PVM.XLSX,240702_07_BA3D_JIN.XLSX
AB406,Exposición docente,240703_01,240703_01_AB406_SC.XLSX,240703_01_AB4D_JIN.XLSX
AB408,Exposición docente,240703_01,240703_01_AB408_KL.XLSX,240703_01_AB4D_JIN.XLSX
AB406,Exposición docente,240703_02,240703_02_AB406_KL.XLSX,240703_02_AB4D_JIN.XLSX
AB410,Exposición docente,240703_02,240703_02_AB410_SC.XLSX,240703_02_AB4D_JIN.XLSX
