"ID","tb_score","tb_errors","tb_meanrt_correct","tb_meanrt_incorrect","ne_score","ne_errors","ne_meanrt_correct","ne_meanrt_incorrect","mt_score","mt_errors","mt_meanrt_correct","mt_meanrt_incorrect","bcd_score","bcd_lgst_streak","bcd_meanrt_correct","bcd_meanrt_incorrect","bci_score","bci_lgst_streak","bci_meanrt_correct","bci_meanrt_incorrect","sm_score","sm_lgst_streak","sm_meanrt_correct","sm_meanrt_incorrect","cs_score","cs_meanrt_correct","cs_meanrt_incorrect","jm_tot_test_trials","jm_score","jm_errors","jm_complete","jm_meanrt_correct","jm_meanrt_incorrect","jm_tot_ax_trial","jm_ax_score","jm_ax_errors","jm_tot_else_trial","jm_else_score","jm_else_errors","jm_ax_meanrt_correct","jm_ax_meanrt_incorrect","jm_else_meanrt_correct","jm_else_meanrt_incorrect","jm_drt_ax"
"BB217",22,2,890.8125,202,6,12,2217.66666666667,2037.33333333333,17,7,2643.35294117647,3009.28571428571,2,1,4707,2883,2,1,3320.5,3181.33333333333,4,1,5928.5,9049.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB219",24,0,1266.88235294118,NA,7,11,10376.1428571429,4815.71428571429,15,9,5249.33333333333,5732.55555555556,2,1,5770.5,1548.33333333333,1,1,10028,3518,3,1,7900,21567.75,9,10007.6666666667,8669.16666666667,60,50,10,TRUE,2072.72,2196.4,42,34,8,18,16,2,2054.70588235294,2332.5,2111,1652,-56.294117647059
"BB220",22,2,1491.46666666667,NA,3,15,7375.66666666667,4600.73333333333,12,12,3905.33333333333,3317.66666666667,1,1,7127,4672,1,1,6805,2555.33333333333,3,2,3041.33333333333,2670.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB221",23,1,1180.3125,5,8,10,3561.125,7541,12,12,3027.83333333333,3254.25,2,2,5811,2891.33333333333,2,1,9289,2950.66666666667,2,1,531.5,3644.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB222",20,4,1511.78571428571,1654,14,4,4805.5,7818.66666666667,10,14,4732.4,4060.07142857143,1,1,7008,4009.66666666667,0,0,NA,4771,2,1,1788,4197.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC101",23,1,1036.9375,NA,12,6,4279.16666666667,12560,11,13,4148.72727272727,3808.23076923077,1,1,11254,5901.66666666667,1,1,2878,4067,4,4,2152.25,4704,8,6748.875,8538,60,56,4,TRUE,1658.80357142857,1999.66666666667,42,39,3,18,17,1,1564.51282051282,1833,1875.11764705882,2333,-310.604826546003
"BC102",20,4,893.733333333333,665,10,8,3069.2,3330.125,17,7,2161.52941176471,2360.85714285714,2,1,5247,1771.33333333333,2,2,4372.5,1847.66666666667,7,7,3167,4554.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC103",14,10,1283.33333333333,1066.2,15,3,5717.86666666667,7793,23,1,3068.08695652174,2533,4,4,7646.75,6987.33333333333,3,3,13881.3333333333,26691.6666666667,8,6,8526.5,22215.6666666667,13,5386.30769230769,7098.5,60,54,6,TRUE,1356.90740740741,2090.16666666667,42,40,2,18,14,4,1319.5,2252,1463.78571428571,2009.25,-144.285714285714
"BC104",22,2,1036.35294117647,1070.5,14,4,3811.5,7641.25,9,15,4298.44444444444,3178.6,2,2,9458,1549.33333333333,1,1,3188,2539.33333333333,6,6,2587.16666666667,4081,10,5072.9,4187,50,30,20,FALSE,444.833333333333,385.785714285714,33,27,6,17,3,14,433.518518518519,350,546.666666666667,388.538461538462,-113.148148148148
"BC106",23,1,1010.5625,NA,6,12,1749.16666666667,1827.66666666667,12,12,4293.66666666667,3503.25,0,0,NA,1476.33333333333,1,1,6256,1844.33333333333,3,1,5724,10199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC107",23,1,894.3125,NA,18,0,9527.05555555555,NA,18,6,5945.38888888889,5760.33333333333,2,2,9669,11337.3333333333,2,2,12171,2997,4,4,6062.75,8202.66666666667,13,5468.15384615385,6292,60,57,3,TRUE,1160.05263157895,1249.5,42,42,0,18,15,3,1165.88095238095,NA,1143.73333333333,1249.5,22.1476190476189
"BC108",23,1,715.117647058824,485,13,5,6132,4531.8,20,4,2308.2,2867.5,2,1,5025.5,3558.33333333333,1,1,6843,3728.33333333333,5,2,2722.4,1825.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC109",17,7,720,823.333333333333,11,7,9768.27272727273,8677.5,17,7,5101.35294117647,5953.14285714286,1,1,4628,1431.33333333333,2,2,5186.5,3412.33333333333,4,2,2871,2591.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC110",16,8,1196.35714285714,1252.6,17,1,7295.82352941176,8785,17,7,3834.41176470588,4963,2,2,2209,1293.66666666667,1,1,2733,1844.33333333333,3,2,1688.66666666667,1937.14285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC112",19,5,1086.06666666667,398.666666666667,13,5,6001.07692307692,5866,18,6,3253,4954.33333333333,2,1,3444.5,888,2,2,6861.5,3388.33333333333,2,2,604.5,1436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC113",13,11,1317,NA,12,6,8231.58333333333,11384,10,14,7789.9,10266.4285714286,2,1,19190,8790,2,2,11201.5,3628,3,2,10291,6947.625,11,12130.6363636364,34715,60,43,17,TRUE,1997.53488372093,2437.15384615385,42,30,12,18,13,5,1953.53333333333,2299.44444444444,2099.07692307692,2747,-145.54358974359
"C3A02",24,0,793,NA,18,0,2411.33333333333,NA,22,2,1855.86363636364,2274.5,3,2,3057.33333333333,2342.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3A03",19,5,1629.5,NA,13,5,4687.84615384615,3342.8,15,9,2807.2,2548.11111111111,1,1,4296,3284.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3A04",24,0,928,NA,16,2,3122.25,10430,21,3,1822.71428571429,2456.33333333333,3,2,5853.66666666667,1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3A07",13,11,1174.07692307692,930,9,9,2375.44444444444,3547,15,9,2191.53333333333,2244.44444444444,2,2,4048,1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
