"ID","Informante","Años_previos_de_escolaridad","Usa_dispositivos_electrónicos_cotidianamente","Libros_en_el_hogar","Frecuencia_de_lectura_compartida","Materiales_didácticos_en_el_hogar","Acceso_a_vestimenta","Hace_deporte","Vida_social","Calidad_de_sueño","Edad_de_la_madre","Edad_del_padre","Educación_de_la_madre","Educación_del_padre","Composición_del_hogar","Hogar_biparental","Cohabitantes","Son_inmigrantes","Mudanzas_desde_el_nacimiento","Madre_trabaja_en_blanco","Padre_trabaja_en_blanco","Madre_estabilidad_laboral","Padre_estabilidad_laboral","Barrio_tranquilo","Percepción_de_ingresos","Percepción_de_recursos","Percepción_de_calma"
"C3B03","Padre",5,0,3,3,3,3,1,5,1,45,NA,11,NA,NA,NA,3,0,NA,NA,NA,NA,NA,2,3,4,2
"C3B04","Madre",4,0,2,3,3,3,1,5,2,47,NA,8,NA,NA,NA,3,0,NA,NA,NA,NA,NA,3,4,4,1
"C3B05","Madre",3,0,2,2,3,3,1,NA,0,31,NA,8,NA,NA,NA,2,0,NA,NA,NA,NA,NA,2,3,4,2
"C3B05","Madre",3,0,2,2,3,3,1,7,0,31,NA,8,NA,NA,NA,2,0,NA,NA,NA,NA,NA,2,3,4,2
"C3B06","Madre",2,1,3,3,3,3,0,5,0,31,NA,5,NA,"Monoparental",0,2,0,0,0,0,1,1,1,1,2,0
"C3B06","Madre",2,1,3,3,3,3,0,1,0,31,NA,5,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1,1,2,0
"C3B07","Padre",2,0,2,2,3,3,0,4,1,35,NA,8,NA,NA,NA,6,0,NA,NA,NA,NA,NA,2,3,4,3
"C3B08","Padre",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3B09","Madre",5,1,NA,3,3,3,1,5,0,46,NA,11,NA,NA,NA,3,0,NA,NA,NA,NA,NA,3,4,4,3
"C3B10","Madre",6,1,NA,2,3,3,1,5,2,48,NA,11,NA,NA,NA,3,0,NA,NA,NA,NA,NA,2,2,4,0
"C3B11","Padre",5,1,2,0,3,3,1,5,NA,38,NA,11,NA,NA,NA,5,0,NA,NA,NA,NA,NA,2,3,3,0
"C3B12","Padre",5,1,2,3,3,3,1,5,0,41,NA,11,NA,NA,NA,4,0,NA,NA,NA,NA,NA,2,2,3,3
"C3B13","Padre",2,0,2,1,3,3,1,5,0,41,NA,11,NA,NA,NA,4,0,NA,NA,NA,NA,NA,2,2,3,1
"C3B14","Madre",4,0,2,2,3,3,1,6,1,33,NA,11,NA,NA,NA,4,0,NA,NA,NA,NA,NA,2,4,4,1
"C3B15","Madre",3,0,2,3,3,3,1,5,1,35,NA,11,NA,NA,NA,3,0,NA,NA,NA,NA,NA,1,2,3,2
"C3C01","Padre",5,1,2,0,3,3,1,NA,2,49,54,14,9,"Biparental",1,3,0,0,1,1,1,1,4,3,4,4
"C3C02","Madre",2,1,2,2,3,3,0,4,0,36,36,5,8,"Biparental",1,3,0,1,1,1,1,1,3,1,2,0
"C3C04","Madre",5,1,2,3,3,3,1,5,1,31,33,6,8,"Tenencia compartida",0,5,0,3,1,1,1,1,4,4,4,1
"C3C05","Padre",3,1,3,3,3,3,1,6,0,37,37,8,8,"Tenencia compartida",0,5,0,1,1,1,0,0,3,1,3,3
"C3C06","Padre",5,1,3,3,3,3,1,5,0,37,37,8,8,"Tenencia compartida",0,5,0,1,1,1,0,0,3,1,3,3
"C3C09","abuela",3,1,3,3,3,3,1,7,1,40,40,8,14,"Biparental",1,5,0,3,1,1,NA,NA,3,4,3,4
"C3C10","Madre",2,1,3,3,3,3,1,NA,1,39,36,8,5,"Biparental",1,2,0,0,1,1,1,1,3,4,4,2
"C3C11","Madre",7,1,2,2,3,3,1,NA,1,43,49,11,8,"Biparental",1,3,0,1,1,1,1,1,3,4,4,1
"C3D01","Madre",5,1,2,1,3,3,1,6,1,33,NA,10,NA,"Monoparental",0,3,0,2,0,0,1,1,3,4,3,2
"C3D02","Padre",2,1,3,3,3,3,0,7,0,36,40,11,8,"Tenencia compartida",0,2,0,3,1,1,1,1,4,4,3,2
"C3D03","Madre",NA,1,1,1,3,3,1,6,1,40,40,5,8,"Otra configuración",0,5,0,2,NA,NA,NA,NA,4,3,4,3
"C3D04","Madre",5,1,1,2,3,NA,0,3,0,32,35,3,5,"Biparental",1,5,0,0,NA,NA,NA,NA,2,2,4,2
"C3D05","Madre",5,1,2,1,3,3,1,6,2,47,55,11,9,"Biparental",1,4,0,0,NA,NA,1,1,3,2,3,0
"C3D06","Madre",3,1,3,3,3,3,1,5,1,43,NA,6,3,"Monoparental",0,3,0,0,0,0,1,1,2,2,3,0
"C3D07","Madre",3,1,3,3,3,3,1,6,0,43,43,6,3,"Monoparental",0,3,0,0,0,0,1,1,2,2,3,0
"C3D08","Padre",4,0,2,0,3,3,1,3,2,NA,48,11,8,"Monoparental",0,3,0,1,1,1,0,0,4,4,4,1
"C3D09","Padre",3,1,2,1,3,3,1,6,1,47,44,14,9,"Tenencia compartida",0,3,0,0,1,1,1,1,4,3,4,0
"C3D10","Madre",6,0,2,2,3,3,1,6,0,46,47,9,11,"Biparental",1,3,0,3,1,1,0,0,1,2,3,2
"C3D11","Madre",4,1,2,0,3,3,1,5,1,24,30,10,10,"Biparental",1,3,0,1,1,1,1,1,3,3,3,1
"C3D12","Madre",2,1,1,2,3,3,0,4,1,38,33,8,10,"Monoparental",0,2,0,1,1,1,1,1,3,1,2,1
"C3D13","Madre",5,1,2,2,3,3,1,6,2,37,46,11,3,"Biparental",1,3,0,2,1,1,1,1,2,2,3,3
"C3E01","Madre",2,0,2,3,3,3,1,6,0,42,41,14,14,"Biparental",1,3,0,1,NA,NA,1,1,3,3,4,1
"C3E03","Padre",4,0,2,3,3,3,1,6,2,45,49,6,8,"Biparental",1,3,0,0,1,1,1,1,2,2,3,3
"C3E04","Madre",5,0,2,2,3,2,1,4,1,45,48,9,3,"Tenencia compartida",0,3,0,2,1,1,1,1,3,1,3,2
"C3E05","Madre",2,0,2,3,3,3,0,6,2,34,35,14,11,"Biparental",1,3,0,0,1,1,1,1,0,3,4,1
"C3E06","Madre",4,1,1,2,3,3,1,4,2,41,50,8,5,"Monoparental",0,2,0,1,1,1,1,1,3,NA,3,2
"C3E07","Padre",7,1,2,0,3,3,1,3,1,42,36,5,8,"Monoparental",0,2,0,1,1,1,1,1,1,3,3,1
"C3E08","Padre",2,1,2,1,3,2,0,4,1,40,40,5,10,"Biparental",1,3,0,1,1,1,0,0,4,2,2,1
"C3E09","Madre",5,1,2,1,3,3,0,6,2,46,44,11,11,"Biparental",1,4,0,0,1,1,1,1,3,4,4,2
"C3E10","Madre",3,1,2,2,3,3,1,3,2,46,51,8,9,"Biparental",1,3,0,0,0,0,1,1,4,4,4,2
"C3F01","Madre",4,0,3,3,3,3,0,4,2,48,45,14,14,"Biparental",1,6,0,0,1,1,1,1,2,NA,3,1
"C3F02","Madre",2,1,1,1,3,3,0,6,1,25,30,11,5,"Tenencia compartida",0,3,NA,0,0,0,1,1,4,1,2,1
"C3F03","Madre",7,1,2,NA,2,1,1,6,1,36,51,0,3,"Biparental",1,3,1,2,1,1,1,1,3,2,2,0
"C3F04","Madre",3,0,3,3,3,3,1,5,1,40,38,8,9,"Biparental",1,4,0,0,1,1,1,1,2,2,NA,1
"C3F05","Padre",4,0,2,3,3,3,1,7,2,40,38,8,11,"Biparental",1,4,0,0,1,1,1,1,2,3,3,0
"C3F06","Padre",8,1,2,3,3,3,1,6,0,51,55,14,5,"Biparental",1,5,0,1,1,1,1,1,3,2,NA,3
"C3F07","Madre",3,1,NA,2,3,3,0,6,2,51,55,11,9,"Biparental",1,5,0,0,1,1,1,1,3,3,0,1
